[ 2024-10-27 20:21:09,991 ] 44 root - INFO - spliting the data into train and test
[ 2024-10-27 20:21:10,000 ] 48 root - INFO - (36474, 20)
[ 2024-10-27 20:21:10,000 ] 49 root - INFO - (9119, 20)
[ 2024-10-27 20:21:10,286 ] 57 root - INFO - Data spliting complited and saved to the respective location
[ 2024-10-27 20:21:10,600 ] 67 root - INFO - Imputed missing values in column 'Unnamed: 0' using method: mean
[ 2024-10-27 20:21:10,639 ] 67 root - INFO - Imputed missing values in column 'ID' using method: mode
[ 2024-10-27 20:21:10,643 ] 67 root - INFO - Imputed missing values in column 'Delivery_person_ID' using method: mode
[ 2024-10-27 20:21:10,647 ] 67 root - INFO - Imputed missing values in column 'Delivery_person_Age' using method: mode
[ 2024-10-27 20:21:10,654 ] 67 root - INFO - Imputed missing values in column 'Delivery_person_Ratings' using method: mode
[ 2024-10-27 20:21:10,656 ] 67 root - INFO - Imputed missing values in column 'Restaurant_latitude' using method: mode
[ 2024-10-27 20:21:10,658 ] 67 root - INFO - Imputed missing values in column 'Restaurant_longitude' using method: mode
[ 2024-10-27 20:21:10,659 ] 67 root - INFO - Imputed missing values in column 'Delivery_location_latitude' using method: mean
[ 2024-10-27 20:21:10,662 ] 67 root - INFO - Imputed missing values in column 'Delivery_location_longitude' using method: median
[ 2024-10-27 20:21:10,667 ] 67 root - INFO - Imputed missing values in column 'Order_Date' using method: mode
[ 2024-10-27 20:21:10,671 ] 67 root - INFO - Imputed missing values in column 'Time_Orderd' using method: mode
[ 2024-10-27 20:21:10,674 ] 67 root - INFO - Imputed missing values in column 'Time_Order_picked' using method: mode
[ 2024-10-27 20:21:10,679 ] 67 root - INFO - Imputed missing values in column 'Weatherconditions' using method: mode
[ 2024-10-27 20:21:10,683 ] 67 root - INFO - Imputed missing values in column 'Road_traffic_density' using method: mode
[ 2024-10-27 20:21:10,684 ] 67 root - INFO - Imputed missing values in column 'Vehicle_condition' using method: mode
[ 2024-10-27 20:21:10,688 ] 67 root - INFO - Imputed missing values in column 'Type_of_order' using method: mode
[ 2024-10-27 20:21:10,693 ] 67 root - INFO - Imputed missing values in column 'Type_of_vehicle' using method: mode
[ 2024-10-27 20:21:10,697 ] 67 root - INFO - Imputed missing values in column 'multiple_deliveries' using method: mode
[ 2024-10-27 20:21:10,701 ] 67 root - INFO - Imputed missing values in column 'Festival' using method: mode
[ 2024-10-27 20:21:10,705 ] 67 root - INFO - Imputed missing values in column 'City' using method: mode
[ 2024-10-27 20:21:10,709 ] 67 root - INFO - Imputed missing values in column 'Time_taken(min)' using method: mode
[ 2024-10-27 20:21:10,999 ] 98 root - INFO - Cleaned data saved to Artifacts\10_27_2024_20_21_09\cleaned_data\cleaned_data.csv
[ 2024-10-27 20:21:11,004 ] 98 root - INFO - Entered initiate_feature_extraction method of FeatureEngineering class
[ 2024-10-27 20:21:11,004 ] 101 root - INFO - Starting Feature Extraction
[ 2024-10-27 20:21:11,317 ] 38 root - INFO - Feature Extraction started
[ 2024-10-27 20:21:11,317 ] 39 root - INFO - <class 'pandas.core.frame.DataFrame'>
[ 2024-10-27 20:21:11,317 ] 42 root - INFO - Handeling missing values
[ 2024-10-27 20:21:11,493 ] 56 root - INFO - Values extracted sucessfully
[ 2024-10-27 20:21:11,493 ] 57 root - INFO - Data Tyepe coversition started
